#frame	 avgInt
1	0.0330738
2	0.0330264
3	0.0328885
4	0.0329763
5	0.0330266
6	0.0331107
7	0.0330998
8	0.0329545
9	0.0329739
10	0.0329361
11	0.0331238
12	0.0331177
13	0.0331449
14	0.0330955
15	0.033028
16	0.0330096
17	0.0328822
18	0.0331478
19	0.0330981
20	0.0331011
21	0.0329096
22	0.0329471
23	0.0331339
24	0.0328581
25	0.0330254
26	0.0329412
27	0.0329593
28	0.0329237
29	0.033076
30	0.0330716
31	0.0329531
32	0.0330349
33	0.0328611
34	0.0329658
35	0.032956
36	0.0328625
37	0.0329975
38	0.0330031
39	0.0329659
40	0.0330027
41	0.0330406
42	0.0330675
43	0.0329119
44	0.0331614
45	0.0331338
46	0.0329896
47	0.0328908
48	0.0329514
49	0.0329668
50	0.0331739
51	0.03287
52	0.0329471
53	0.0330536
54	0.0329638
55	0.0330328
56	0.0330483
57	0.0330636
58	0.0329903
59	0.0330266
60	0.0330526
61	0.0330876
62	0.0331877
63	0.0329743
64	0.0328912
65	0.0330783
66	0.0330492
67	0.0329436
68	0.0330073
69	0.0329347
70	0.0329958
71	0.0329131
72	0.0332487
73	0.0330653
74	0.0331167
75	0.0329071
76	0.0330289
77	0.0331496
78	0.0330699
79	0.0329252
80	0.0330944
81	0.0330382
82	0.0329611
83	0.03307
84	0.0331204
85	0.033003
86	0.032963
87	0.0329562
88	0.0331037
89	0.0329308
90	0.0330469
91	0.0330039
92	0.0330102
93	0.0329613
94	0.0330377
95	0.0330704
96	0.0330832
97	0.0330944
98	0.0330996
99	0.0330537
100	0.0329948
101	0.0331044
102	0.0329791
103	0.0329936
104	0.0330445
105	0.0331599
106	0.033119
107	0.03302
108	0.0331591
109	0.0331551
110	0.0330907
111	0.0331336
112	0.0330043
113	0.0329264
114	0.0330429
115	0.032968
116	0.0331033
117	0.0330761
118	0.0332235
119	0.0329769
120	0.0330544
121	0.0329931
122	0.0330948
123	0.0331006
124	0.0330612
125	0.0330172
126	0.0330946
127	0.0330179
128	0.0329996
129	0.0330205
130	0.0330058
131	0.0330348
132	0.0330924
133	0.0330476
134	0.0330876
135	0.0330447
136	0.0331414
137	0.0331171
138	0.0330173
139	0.0330856
140	0.0330185
141	0.032972
142	0.0330995
143	0.0331288
144	0.0330509
145	0.0329413
146	0.0331659
147	0.0330343
148	0.0329095
149	0.0330264
150	0.0330392
151	0.0329387
152	0.0330743
153	0.0329787
154	0.0329855
155	0.0330067
156	0.0329691
157	0.0330649
158	0.0329782
159	0.0329581
160	0.0330075
161	0.0328927
162	0.0329813
163	0.0331558
164	0.03305
165	0.0331895
166	0.0331222
167	0.0331512
168	0.0329351
169	0.0329927
170	0.0330879
171	0.0331107
172	0.0329485
173	0.0330347
174	0.0330342
175	0.0329553
176	0.0330907
177	0.0330266
178	0.0331397
179	0.0332101
180	0.0331118
181	0.0332345
182	0.0331511
183	0.033016
184	0.0331773
185	0.0332812
186	0.0333403
187	0.0333021
188	0.0333956
189	0.0332443
190	0.0333122
191	0.0332449
192	0.0333917
193	0.0334864
194	0.0334886
195	0.0331616
196	0.0335295
197	0.0335021
198	0.0335816
199	0.0334983
200	0.0336654
201	0.033676
202	0.0337542
203	0.0337325
204	0.0337686
205	0.0337873
206	0.0337596
207	0.0338032
208	0.0339591
209	0.0339749
210	0.0339382
211	0.0340888
212	0.0341243
213	0.0340396
214	0.034221
215	0.0342567
216	0.0342193
217	0.0342732
218	0.0343641
219	0.0343963
220	0.0345655
221	0.0343696
222	0.0344681
223	0.0345996
224	0.0345914
225	0.0345935
226	0.0345422
227	0.0347298
228	0.0346442
229	0.0347014
230	0.0347653
231	0.0348524
232	0.0348991
233	0.0348593
234	0.0349402
235	0.0348801
236	0.0350602
237	0.0350272
238	0.0349629
239	0.0349517
240	0.035036
241	0.0350523
242	0.0351037
243	0.0351746
244	0.0352077
245	0.0353055
246	0.0352393
247	0.0351253
248	0.0353876
249	0.035188
250	0.0351303
251	0.035037
252	0.0351612
253	0.0350671
254	0.0352054
255	0.0352233
256	0.0350173
257	0.0350982
258	0.0350294
259	0.0351541
260	0.0351706
261	0.0351001
262	0.0349706
263	0.0349737
264	0.0350216
265	0.0350555
266	0.0349143
267	0.0348446
268	0.0349267
269	0.034857
270	0.0348342
271	0.0348042
272	0.0347986
273	0.0348299
274	0.03476
275	0.0347713
276	0.0347502
277	0.0345843
278	0.0348212
279	0.034763
280	0.034795
281	0.0347159
282	0.0347228
283	0.0346959
284	0.0345115
285	0.0346404
286	0.034704
287	0.0344966
288	0.0344677
289	0.0345188
290	0.0343802
291	0.0344751
292	0.0345004
293	0.0344347
294	0.0344129
295	0.0343484
296	0.0343676
297	0.0344516
298	0.0344428
299	0.0343691
300	0.0342435
301	0.0344325
302	0.0345689
303	0.0342767
304	0.034426
305	0.0345142
306	0.0346666
307	0.0346431
308	0.034915
309	0.0348583
310	0.0352329
311	0.0353902
312	0.0354512
313	0.0357622
314	0.0360403
315	0.0362552
316	0.0365784
317	0.0367969
318	0.0369881
319	0.037297
320	0.0374941
321	0.0374866
322	0.0378778
323	0.0378674
324	0.0382623
325	0.0383477
326	0.0382747
327	0.0384745
328	0.0385633
329	0.0390084
330	0.0383245
331	0.0387133
332	0.0385552
333	0.0384327
334	0.0385082
335	0.038279
336	0.0383266
337	0.0382018
338	0.0383359
339	0.0379315
340	0.0377592
341	0.0378382
342	0.0374945
343	0.0374848
344	0.0373342
345	0.0372531
346	0.0369874
347	0.036961
348	0.0366831
349	0.0366342
350	0.0364286
351	0.0362586
352	0.0362247
353	0.0361866
354	0.0358547
355	0.0358736
356	0.0357598
357	0.0358496
358	0.0353555
359	0.0356051
360	0.0353559
361	0.035279
362	0.0352467
363	0.0351826
364	0.0351125
365	0.0350218
366	0.0350652
367	0.0347743
368	0.0350375
369	0.0347428
370	0.034721
371	0.0348555
372	0.0347099
373	0.0346304
374	0.0345939
375	0.0344156
376	0.0345386
377	0.0344983
378	0.0344548
379	0.0344423
380	0.0343307
381	0.0342354
382	0.0343925
383	0.0342814
384	0.0344211
385	0.0341802
386	0.0341986
387	0.0341902
388	0.0341704
389	0.0341515
390	0.0342449
391	0.0340545
392	0.0340182
393	0.0339812
394	0.0340763
395	0.0339957
396	0.0340242
397	0.0339715
398	0.0339132
399	0.0340173
400	0.0338898
401	0.0338264
402	0.0338577
403	0.0340227
404	0.033703
405	0.0336839
406	0.0338533
407	0.033655
408	0.0337715
409	0.03362
410	0.0335306
411	0.033542
412	0.0334725
413	0.0335676
414	0.0335008
415	0.0335284
416	0.0335466
417	0.0334777
418	0.033385
419	0.0336579
420	0.0334011
421	0.0335331
422	0.033396
423	0.0334595
424	0.0334516
425	0.0333776
426	0.0333492
427	0.0334215
428	0.0332851
429	0.0334146
430	0.0332667
431	0.0331913
432	0.0332079
