#frame	 avgInt
1	0.0329671
2	0.0330915
3	0.0329295
4	0.0330679
5	0.0331859
6	0.0329766
7	0.0331772
8	0.033175
9	0.0331368
10	0.0329511
11	0.0330569
12	0.0330952
13	0.0329966
14	0.0332048
15	0.0329351
16	0.0330538
17	0.0331139
18	0.0330764
19	0.0330461
20	0.0330599
21	0.0330322
22	0.0329803
23	0.0329585
24	0.0330433
25	0.0329767
26	0.0329916
27	0.0331326
28	0.0329971
29	0.0328629
30	0.0331035
31	0.0329083
32	0.0329975
33	0.0329751
34	0.0330369
35	0.0328331
36	0.0330439
37	0.033027
38	0.033039
39	0.03299
40	0.0329079
41	0.0330019
42	0.0329876
43	0.0330702
44	0.0330711
45	0.0329666
46	0.0330768
47	0.0330122
48	0.0331575
49	0.0331823
50	0.0329066
51	0.0330665
52	0.03309
53	0.0329335
54	0.0329447
55	0.0330789
56	0.0329251
57	0.032857
58	0.0329989
59	0.0330091
60	0.0330001
61	0.0330604
62	0.0330187
63	0.0330885
64	0.0331776
65	0.0330478
66	0.0329741
67	0.0330231
68	0.0329977
69	0.0330302
70	0.0330607
71	0.032985
72	0.0329709
73	0.0330673
74	0.033085
75	0.0330282
76	0.032987
77	0.0330714
78	0.0330375
79	0.032933
80	0.0330624
81	0.032949
82	0.0328998
83	0.0329672
84	0.0329378
85	0.032958
86	0.033028
87	0.0329618
88	0.0330682
89	0.0330104
90	0.032941
91	0.0331896
92	0.0330044
93	0.0329715
94	0.0330137
95	0.0331345
96	0.0329133
97	0.0331132
98	0.0329384
99	0.0329533
100	0.0328663
101	0.0329385
102	0.0329575
103	0.0329424
104	0.0331068
105	0.0329605
106	0.0329037
107	0.0329282
108	0.0330441
109	0.0330265
110	0.0330328
111	0.0330026
112	0.0330691
113	0.0330784
114	0.0329735
115	0.033103
116	0.0329628
117	0.0330481
118	0.0329584
119	0.0330779
120	0.0329609
121	0.0330552
122	0.0328751
123	0.0330426
124	0.0329589
125	0.0330274
126	0.0330843
127	0.0330039
128	0.0330338
129	0.0329845
130	0.0330494
131	0.0329822
132	0.0330325
133	0.0330715
134	0.0331109
135	0.0330021
136	0.0330354
137	0.0330659
138	0.033051
139	0.0331711
140	0.0329044
141	0.0329793
142	0.0328969
143	0.0329451
144	0.032996
145	0.0330948
146	0.0330296
147	0.0329637
148	0.0329031
149	0.0331018
150	0.0329908
151	0.0330532
152	0.0328832
153	0.0331062
154	0.0330555
155	0.0329479
156	0.0330586
157	0.032957
158	0.0329525
159	0.0328875
160	0.0328359
161	0.0330759
162	0.0330442
163	0.0329908
164	0.0330355
165	0.0329659
166	0.0330215
167	0.0330378
168	0.0330715
169	0.0329671
170	0.0330097
171	0.033168
172	0.0329885
