# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0327815
intensity_max	0.0405506

# Background parameter	Estimate	Standard error	Relative standard error
m	-0.008083872675483628	0.002447110294079913	-0.30271509613225217
b	0.031361760273086056	0.0012238663942914722	0.0390241613874514

# Peak 1 parameter	Estimate	Standard error	Relative standard error
A1	0.040163829171279884	0.0011747407790846072	0.029248724619231125
mu1	0.3373252386496587	0.001114888820849192	0.0033050856950763183
sigma1	0.03153863897135413	0.0012175475821618708	0.03860495005088023
tau1	0.1366120279100602	0.006123119495950644	0.04482123272470457

# Peak 2 parameter	Estimate	Standard Error
A2	0.04892841945625253	0.0004304775800974098	0.00879810925595716
mu2	0.46251117711813217	0.00014897676792693015	0.0003221041464450475
sigma2	0.010872862062309752	0.00015500361638429402	0.014256008721163357
tau2	0.03450263180498481	0.000506243877888209	0.014672616302129998

# Area fraction
A1/(A1+A2)	0.4508117124666214
A2/(A1+A2)	0.5491882875333787

