# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0327819
intensity_max	0.0419936

# Background	Estimate	Standard Error
m	-0.003901055367504836	0.0020786439377562553
b	0.02082227082234156	0.001302912232604901

# Peak 1
A1	0.13840532316251172	0.0007080889993781777
mu1	0.31187812209954746	0.00022383000831483933
sigma1	0.027131193874641638	0.00022391561757816963
tau1	0.08240044746867223	0.0008688717239108762

# Peak 2	Estimate	Standard Error
A2	0.008544181261561678	0.0003250358032356787
mu2	0.47733059182645915	0.20469481642352708
sigma2	0.021078994620010116	0.009649371572845842
tau2	0.0009931958016424045	0.20538904118642987

# Area fractions
A1/(A1+A2)	0.9418563451775619
A2/(A1+A2)	0.0581436548224382

